"step-LOADING2_frame-1_var-U:0","step-LOADING2_frame-1_var-U:1","step-LOADING2_frame-1_var-U:2","step-LOADING2_frame-1_var-S:0","step-LOADING2_frame-1_var-S:1","step-LOADING2_frame-1_var-S:2","step-LOADING2_frame-1_var-S:3","step-LOADING2_frame-1_var-S:4","step-LOADING2_frame-1_var-S:5","step-LOADING2_frame-1_var-S:6","step-LOADING2_frame-1_var-S:7","step-LOADING2_frame-1_var-S:8","step-LOADING2_frame-0_var-U:0","step-LOADING2_frame-0_var-U:1","step-LOADING2_frame-0_var-U:2","step-LOADING1_frame-0_var-S:0","step-LOADING1_frame-0_var-S:1","step-LOADING1_frame-0_var-S:2","step-LOADING1_frame-0_var-S:3","step-LOADING1_frame-0_var-S:4","step-LOADING1_frame-0_var-S:5","step-LOADING1_frame-0_var-S:6","step-LOADING1_frame-0_var-S:7","step-LOADING1_frame-0_var-S:8","step-LOADING1_frame-1_var-U:0","step-LOADING1_frame-1_var-U:1","step-LOADING1_frame-1_var-U:2","step-LOADING1_frame-0_var-U:0","step-LOADING1_frame-0_var-U:1","step-LOADING1_frame-0_var-U:2","step-LOADING1_frame-1_var-S:0","step-LOADING1_frame-1_var-S:1","step-LOADING1_frame-1_var-S:2","step-LOADING1_frame-1_var-S:3","step-LOADING1_frame-1_var-S:4","step-LOADING1_frame-1_var-S:5","step-LOADING1_frame-1_var-S:6","step-LOADING1_frame-1_var-S:7","step-LOADING1_frame-1_var-S:8","step-LOADING2_frame-0_var-S:0","step-LOADING2_frame-0_var-S:1","step-LOADING2_frame-0_var-S:2","step-LOADING2_frame-0_var-S:3","step-LOADING2_frame-0_var-S:4","step-LOADING2_frame-0_var-S:5","step-LOADING2_frame-0_var-S:6","step-LOADING2_frame-0_var-S:7","step-LOADING2_frame-0_var-S:8","Points:0","Points:1","Points:2"
-0.00000e+00,9.88352e-06,0.00000e+00,9.69373e-05,-4.05097e-05,3.53432e-05,-4.05097e-05,3.51081e-05,0.00000e+00,3.53432e-05,0.00000e+00,0.00000e+00,-0.00000e+00,-1.31468e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-0.00000e+00,-1.31468e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.14848e-02,-3.30724e-02,-3.19110e-02,-3.30724e-02,-3.49196e-03,0.00000e+00,-3.19110e-02,0.00000e+00,0.00000e+00,-3.14848e-02,-3.30724e-02,-3.19110e-02,-3.30724e-02,-3.49196e-03,0.00000e+00,-3.19110e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
-2.07183e-06,-1.84307e-06,0.00000e+00,9.98627e-07,3.04320e-06,-1.16635e-06,3.04320e-06,1.68196e-06,0.00000e+00,-1.16635e-06,0.00000e+00,0.00000e+00,1.63552e-03,-1.51911e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.63552e-03,-1.51911e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.87426e-03,-2.90362e-03,5.79289e-04,-2.90362e-03,-2.17352e-03,0.00000e+00,5.79289e-04,0.00000e+00,0.00000e+00,-1.87426e-03,-2.90362e-03,5.79289e-04,-2.90362e-03,-2.17352e-03,0.00000e+00,5.79289e-04,0.00000e+00,0.00000e+00,8.66025e-01,5.00000e-01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,-1.59234e-14,2.04109e-13,3.91682e-14,2.04109e-13,7.28444e-14,0.00000e+00,3.91682e-14,0.00000e+00,0.00000e+00,1.24103e-38,-1.66758e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.24103e-38,-1.66758e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.85490e-06,-2.22740e-06,-8.44986e-07,-2.22740e-06,-1.25255e-06,0.00000e+00,-8.44986e-07,0.00000e+00,0.00000e+00,-1.85490e-06,-2.22740e-06,-8.44986e-07,-2.22740e-06,-1.25255e-06,0.00000e+00,-8.44986e-07,0.00000e+00,0.00000e+00,5.00000e+01,8.56025e+01,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,-1.08247e-13,-3.50287e-13,-1.11672e-13,-3.50287e-13,4.80478e-15,0.00000e+00,-1.11672e-13,0.00000e+00,0.00000e+00,1.24103e-38,-1.66758e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.24103e-38,-1.66758e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.22279e-06,-3.74028e-06,-1.24890e-06,-3.74028e-06,-6.66350e-08,0.00000e+00,-1.24890e-06,0.00000e+00,0.00000e+00,-1.22279e-06,-3.74028e-06,-1.24890e-06,-3.74028e-06,-6.66350e-08,0.00000e+00,-1.24890e-06,0.00000e+00,0.00000e+00,0.00000e+00,9.90000e+01,0.00000e+00
2.74286e-06,6.89224e-06,0.00000e+00,7.03106e-05,-2.43690e-05,2.95708e-05,-2.43690e-05,8.95786e-06,0.00000e+00,2.95708e-05,0.00000e+00,0.00000e+00,-1.29805e-03,-1.32288e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.29805e-03,-1.32288e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.20640e-02,-3.06411e-02,-3.12877e-02,-3.06411e-02,-1.33806e-03,0.00000e+00,-3.12877e-02,0.00000e+00,0.00000e+00,-3.20640e-02,-3.06411e-02,-3.12877e-02,-3.06411e-02,-1.33806e-03,0.00000e+00,-3.12877e-02,0.00000e+00,0.00000e+00,8.71557e-02,3.80530e-03,0.00000e+00
2.60628e-06,4.36281e-06,0.00000e+00,4.07453e-05,-1.27623e-05,1.73676e-05,-1.27623e-05,1.72508e-05,0.00000e+00,1.73676e-05,0.00000e+00,0.00000e+00,-2.39448e-03,-1.33181e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.39448e-03,-1.33181e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.00553e-02,-2.95163e-02,-2.95089e-02,-2.95163e-02,-1.04254e-03,0.00000e+00,-2.95089e-02,0.00000e+00,0.00000e+00,-3.00553e-02,-2.95163e-02,-2.95089e-02,-2.95163e-02,-1.04254e-03,0.00000e+00,-2.95089e-02,0.00000e+00,0.00000e+00,1.73648e-01,1.51922e-02,0.00000e+00
6.22537e-07,1.63962e-06,0.00000e+00,3.97757e-05,-1.99465e-05,8.37547e-06,-1.99465e-05,1.40659e-05,0.00000e+00,8.37547e-06,0.00000e+00,0.00000e+00,-3.30501e-03,-1.34637e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.30501e-03,-1.34637e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.84146e-02,-2.80651e-02,-2.71378e-02,-2.80651e-02,-1.08091e-03,0.00000e+00,-2.71378e-02,0.00000e+00,0.00000e+00,-2.84146e-02,-2.80651e-02,-2.71378e-02,-2.80651e-02,-1.08091e-03,0.00000e+00,-2.71378e-02,0.00000e+00,0.00000e+00,2.58819e-01,3.40742e-02,0.00000e+00
-4.32048e-07,-3.23502e-07,0.00000e+00,3.30360e-05,-1.56033e-05,4.42412e-06,-1.56033e-05,1.36930e-05,0.00000e+00,4.42412e-06,0.00000e+00,0.00000e+00,-3.99342e-03,-1.36744e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.99342e-03,-1.36744e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.69822e-02,-2.61802e-02,-2.49633e-02,-2.61802e-02,-6.22052e-04,0.00000e+00,-2.49633e-02,0.00000e+00,0.00000e+00,-2.69822e-02,-2.61802e-02,-2.49633e-02,-2.61802e-02,-6.22052e-04,0.00000e+00,-2.49633e-02,0.00000e+00,0.00000e+00,3.42020e-01,6.03074e-02,0.00000e+00
-1.20197e-06,-2.23676e-06,0.00000e+00,2.16795e-05,-6.60597e-06,2.50621e-06,-6.60597e-06,1.70470e-05,0.00000e+00,2.50621e-06,0.00000e+00,0.00000e+00,-4.12205e-03,-1.39377e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-4.12205e-03,-1.39377e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.24999e-02,-2.48932e-02,-2.13571e-02,-2.48932e-02,-8.58102e-04,0.00000e+00,-2.13571e-02,0.00000e+00,0.00000e+00,-2.24999e-02,-2.48932e-02,-2.13571e-02,-2.48932e-02,-8.58102e-04,0.00000e+00,-2.13571e-02,0.00000e+00,0.00000e+00,4.22618e-01,9.36922e-02,0.00000e+00
-1.10189e-06,-4.53018e-06,0.00000e+00,9.11117e-06,-1.93753e-06,-8.23398e-07,-1.93753e-06,2.21440e-05,0.00000e+00,-8.23398e-07,0.00000e+00,0.00000e+00,-3.41761e-03,-1.42550e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.41761e-03,-1.42550e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.14724e-02,-2.22389e-02,-1.42784e-02,-2.22389e-02,-1.72688e-03,0.00000e+00,-1.42784e-02,0.00000e+00,0.00000e+00,-1.14724e-02,-2.22389e-02,-1.42784e-02,-2.22389e-02,-1.72688e-03,0.00000e+00,-1.42784e-02,0.00000e+00,0.00000e+00,5.00000e-01,1.33975e-01,0.00000e+00
